name,url,dob,collage,from_year,to_year,pos,height,weight,nba_debut,career_length,g,pts,trb,ast
Jordan Adams,https://www.basketball-reference.com/players/a/adamsjo01.html,"July 8, 1994",UCLA,2015,2016,G,6-5,209,"November 3, 2014",2 years,32,3.2,0.9,0.6
Michael Adams,https://www.basketball-reference.com/players/a/adamsmi01.html,"January 19, 1963",Boston College,1986,1996,G,5-10,162,"October 25, 1985",11 years,653,14.7,2.9,6.4
Steven Adams,https://www.basketball-reference.com/players/a/adamsst01.html,"July 20, 1993",Pitt,2014,2023,C,6-11,265,"October 30, 2013",10 years,706,9.2,8.2,1.5
Rafael Addison,https://www.basketball-reference.com/players/a/addisra01.html,"July 22, 1964",Syracuse,1987,1997,F-G,6-7,215,"November 1, 1986",6 years,379,5.8,2.1,0.9
Bam Adebayo,https://www.basketball-reference.com/players/a/adebaba01.html,"July 18, 1997",Kentucky,2018,2023,C-F,6-9,255,"October 18, 2017",6 years,418,14.7,8.5,3.4
Deng Adel,https://www.basketball-reference.com/players/a/adelde01.html,"February 1, 1997",Louisville,2019,2019,F,6-7,200,"January 19, 2019",1 year,19,1.7,1.0,0.3
Rick Adelman,https://www.basketball-reference.com/players/a/adelmri01.html,"June 16, 1946",Loyola Marymount,1969,1975,G,6-1,175,"October 17, 1968",7 years,462,7.7,2.4,3.5
Jeff Adrien,https://www.basketball-reference.com/players/a/adrieje01.html,"February 10, 1986",UConn,2011,2015,F,6-7,245,"October 27, 2010",5 years,153,4.6,4.3,0.7
Arron Afflalo,https://www.basketball-reference.com/players/a/afflaar01.html,"October 15, 1985",UCLA,2008,2018,G-F,6-5,210,"November 1, 2007",11 years,762,10.8,2.9,1.8
Ochai Agbaji,https://www.basketball-reference.com/players/a/agbajoc01.html,"April 20, 2000",Kansas,2023,2023,G,6-5,215,"October 19, 2022",1 year,59,7.9,2.1,1.1
Maurice Ager,https://www.basketball-reference.com/players/a/agerma01.html,"February 9, 1984",Michigan State,2007,2011,G,6-5,202,"November 4, 2006",4 years,82,2.1,0.6,0.2
Mark Aguirre,https://www.basketball-reference.com/players/a/aguirma01.html,"December 10, 1959",DePaul,1982,1994,F-G,6-6,232,"October 30, 1981",13 years,923,20.0,5.0,3.1
Blake Ahearn,https://www.basketball-reference.com/players/a/ahearbl01.html,"May 27, 1984",Missouri State,2008,2012,G,6-2,190,"March 21, 2008",3 years,19,4.6,1.2,1.2
Danny Ainge,https://www.basketball-reference.com/players/a/aingeda01.html,"March 17, 1959",BYU,1982,1995,G,6-4,175,"December 9, 1981",14 years,1042,11.5,2.7,4.0
Matt Aitch,https://www.basketball-reference.com/players/a/aitchma01.html,"September 21, 1944",Moberly Area Community College,1968,1968,F,6-7,230,,1 year,45,5.6,3.6,0.4
Alexis Ajinça,https://www.basketball-reference.com/players/a/ajincal01.html,"May 6, 1988",None,2009,2017,C-F,7-2,248,"October 30, 2008",7 years,293,5.3,3.9,0.5
Henry Akin,https://www.basketball-reference.com/players/a/akinhe01.html,"July 31, 1944",Morehead State University,1967,1969,C-F,6-10,225,"October 15, 1966",3 years,88,3.5,2.1,0.5
Josh Akognon,https://www.basketball-reference.com/players/a/akognjo01.html,"February 10, 1986",Washington State,2013,2013,G,5-11,185,"April 10, 2013",1 year,3,1.7,0.3,0.3
DeVaughn Akoon-Purcell,https://www.basketball-reference.com/players/a/akoonde01.html,"June 5, 1993",Illinois State,2019,2019,G,6-6,200,"October 23, 2018",1 year,7,1.0,0.6,0.9
Solomon Alabi,https://www.basketball-reference.com/players/a/alabiso01.html,"March 21, 1988",Florida State,2011,2012,C,7-1,251,"November 13, 2010",2 years,26,1.5,2.3,0.2
Mark Alarie,https://www.basketball-reference.com/players/a/alarima01.html,"December 11, 1963",Duke,1987,1991,F,6-8,217,"October 31, 1986",5 years,325,7.5,3.4,1.1
Gary Alcorn,https://www.basketball-reference.com/players/a/alcorga01.html,"October 8, 1936",Fresno State,1960,1961,C,6-9,225,"October 18, 1959",2 years,78,3.3,4.2,0.3
Santi Aldama,https://www.basketball-reference.com/players/a/aldamsa01.html,"January 10, 2001",Loyola (MD),2022,2023,F,6-11,224,"October 27, 2021",2 years,109,7.6,4.2,1.1
Furkan Aldemir,https://www.basketball-reference.com/players/a/aldemfu01.html,"August 9, 1991",None,2015,2015,F-C,6-10,240,"December 15, 2014",1 year,41,2.3,4.3,0.7
Cole Aldrich,https://www.basketball-reference.com/players/a/aldrico01.html,"October 31, 1988",Kansas,2011,2018,C,6-11,250,"October 31, 2010",8 years,339,3.1,3.3,0.5
LaMarcus Aldridge,https://www.basketball-reference.com/players/a/aldrila01.html,"July 19, 1985",Texas,2007,2022,F-C,6-11,250,"November 12, 2006",16 years,1076,19.1,8.1,1.9
Chuck Aleksinas,https://www.basketball-reference.com/players/a/aleksch01.html,"February 26, 1959",Kentucky,1985,1985,C,6-11,260,"October 26, 1984",1 year,74,5.1,3.6,0.5
Cliff Alexander,https://www.basketball-reference.com/players/a/alexacl01.html,"November 16, 1995",Kansas,2016,2016,F,6-8,245,"November 15, 2015",1 year,8,1.3,0.8,0.0
Cory Alexander,https://www.basketball-reference.com/players/a/alexaco01.html,"June 22, 1973",Virginia,1996,2005,G,6-1,185,"November 4, 1995",7 years,307,5.5,1.6,2.7
Courtney Alexander,https://www.basketball-reference.com/players/a/alexaco02.html,"April 27, 1977",Virginia,2001,2003,G,6-5,205,"November 4, 2000",3 years,187,9.0,2.2,1.2
Gary Alexander,https://www.basketball-reference.com/players/a/alexaga01.html,"November 1, 1969",South Florida,1994,1994,F,6-7,240,"November 5, 1993",1 year,11,1.7,1.4,0.2
Joe Alexander,https://www.basketball-reference.com/players/a/alexajo01.html,"December 26, 1986",West Virginia,2009,2010,F,6-8,230,"November 2, 2008",2 years,67,4.2,1.8,0.7
Kyle Alexander,https://www.basketball-reference.com/players/a/alexaky01.html,"October 21, 1996",Tennessee,2020,2020,F,6-11,220,"August 6, 2020",1 year,2,1.0,1.5,0.0
Ty-Shon Alexander,https://www.basketball-reference.com/players/a/alexaty01.html,"July 16, 1998",Creighton,2021,2021,G,6-3,195,"December 27, 2020",1 year,15,0.6,0.7,0.4
Victor Alexander,https://www.basketball-reference.com/players/a/alexavi01.html,"August 31, 1969",Iowa State,1992,2002,C-F,6-9,265,"November 1, 1991",5 years,286,8.9,4.8,0.9
Nickeil Alexander-Walker,https://www.basketball-reference.com/players/a/alexani01.html,"September 2, 1998",Virginia Tech,2020,2023,G,6-6,205,"October 22, 2019",4 years,217,8.4,2.4,2.1
Steve Alford,https://www.basketball-reference.com/players/a/alforst01.html,"November 23, 1964",Indiana,1988,1991,G,6-2,183,"November 6, 1987",4 years,169,4.4,0.9,1.0
Rawle Alkins,https://www.basketball-reference.com/players/a/alkinra01.html,"October 29, 1997",Arizona,2019,2019,G,6-5,225,"December 17, 2018",1 year,10,3.7,2.6,1.3
Bill Allen,https://www.basketball-reference.com/players/a/allenbi01.html,New Mexico State,None,1968,1968,C-F,6-8,205,,1 year,38,7.9,7.1,0.6
Bob Allen,https://www.basketball-reference.com/players/a/allenbo01.html,"July 17, 1946",Marshall,1969,1969,F,6-9,205,"October 29, 1968",1 year,27,1.8,2.1,0.4
Grayson Allen,https://www.basketball-reference.com/players/a/allengr01.html,"October 8, 1995",Duke,2019,2023,G,6-4,198,"October 22, 2018",5 years,264,9.7,2.8,1.7
Jarrett Allen,https://www.basketball-reference.com/players/a/allenja01.html,"April 21, 1998",Texas,2018,2023,C-F,6-11,243,"October 20, 2017",6 years,409,12.0,8.9,1.4
Jerome Allen,https://www.basketball-reference.com/players/a/allenje01.html,"January 28, 1973",Penn,1996,1997,G,6-4,184,"November 3, 1995",2 years,117,2.9,1.1,1.7
Kadeem Allen,https://www.basketball-reference.com/players/a/allenka01.html,"January 15, 1993",Arizona,2018,2020,G,6-1,200,"December 11, 2017",3 years,47,5.5,1.5,2.3
Lavoy Allen,https://www.basketball-reference.com/players/a/allenla01.html,"February 4, 1989",Temple,2012,2017,F-C,6-9,260,"January 7, 2012",6 years,388,4.8,4.8,1.0
Lucius Allen,https://www.basketball-reference.com/players/a/allenlu01.html,"September 26, 1947",UCLA,1970,1979,G,6-2,175,"October 14, 1969",10 years,702,13.4,3.1,4.5
Malik Allen,https://www.basketball-reference.com/players/a/allenma01.html,"June 27, 1978",Villanova,2002,2011,F-C,6-10,255,"November 30, 2001",10 years,478,4.9,2.8,0.5
Randy Allen,https://www.basketball-reference.com/players/a/allenra01.html,"January 26, 1965",Florida State,1989,1990,F,6-8,220,"March 9, 1989",2 years,70,3.6,2.1,0.3
Ray Allen,https://www.basketball-reference.com/players/a/allenra02.html,"July 20, 1975",UConn,1997,2014,G,6-5,205,"November 1, 1996",18 years,1300,18.9,4.1,3.4
Tony Allen,https://www.basketball-reference.com/players/a/allento01.html,"January 11, 1982",Butler County Community College,2005,2018,G-F,6-4,213,"November 3, 2004",14 years,820,8.1,3.5,1.3
Willie Allen,https://www.basketball-reference.com/players/a/allenwi01.html,"February 8, 1949",Miami (FL),1972,1972,F,6-6,230,,1 year,7,1.9,2.0,0.6
Odis Allison,https://www.basketball-reference.com/players/a/allisod01.html,"October 2, 1949",UNLV,1972,1972,F,6-6,195,"October 15, 1971",1 year,36,1.9,1.3,0.3
Lance Allred,https://www.basketball-reference.com/players/a/allrela01.html,"February 2, 1981",Utah,2008,2008,C,6-11,250,"March 17, 2008",1 year,3,1.0,0.3,0.0
Darrell Allums,https://www.basketball-reference.com/players/a/allumda01.html,"September 12, 1958",UCLA,1981,1981,F,6-9,220,"October 11, 1980",1 year,22,2.7,3.0,1.1
Morris Almond,https://www.basketball-reference.com/players/a/almonmo01.html,"February 2, 1985",Rice University,2008,2012,G,6-6,225,"November 7, 2007",3 years,38,3.1,1.2,0.3
Derrick Alston,https://www.basketball-reference.com/players/a/alstode01.html,"August 20, 1972",Duquesne,1995,1997,F,6-11,225,"November 4, 1994",3 years,139,5.4,3.8,0.7
Rafer Alston,https://www.basketball-reference.com/players/a/alstora01.html,"July 24, 1976",Fresno State,2000,2010,G,6-2,171,"February 17, 2000",11 years,671,10.1,2.8,4.8
Peter Aluma,https://www.basketball-reference.com/players/a/alumape01.html,"April 23, 1973",Liberty,1999,1999,C,6-10,260,"February 5, 1999",1 year,2,1.0,1.0,0.0
Jose Alvarado,https://www.basketball-reference.com/players/a/alvarjo01.html,"April 12, 1998",Georgia Tech,2022,2023,G,6-0,179,"November 3, 2021",2 years,115,7.7,2.1,2.9
John Amaechi,https://www.basketball-reference.com/players/a/amaecjo01.html,"November 26, 1970",Vanderbilt,1996,2003,C-F,6-10,270,"November 3, 1995",5 years,294,6.2,2.6,0.8
Ashraf Amaya,https://www.basketball-reference.com/players/a/amayaas01.html,"November 23, 1971",Southern Illinois,1996,1997,F,6-8,230,"November 7, 1995",2 years,85,4.5,4.2,0.4
Al-Farouq Aminu,https://www.basketball-reference.com/players/a/aminual01.html,"September 21, 1990",Wake Forest,2011,2021,F,6-8,220,"October 27, 2010",11 years,711,7.5,6.0,1.2
Lou Amundson,https://www.basketball-reference.com/players/a/amundlo01.html,"December 7, 1982",UNLV,2007,2016,F-C,6-9,220,"February 24, 2007",10 years,428,3.7,3.6,0.4
Bob Anderegg,https://www.basketball-reference.com/players/a/anderbo01.html,"August 24, 1937",Michigan State,1960,1960,F-G,6-3,200,"October 31, 1959",1 year,33,4.0,2.1,0.9
Chris Andersen,https://www.basketball-reference.com/players/a/anderch01.html,"July 7, 1978",Blinn College,2002,2017,C-F,6-10,245,"November 23, 2001",15 years,695,5.4,5.0,0.5
David Andersen,https://www.basketball-reference.com/players/a/anderda03.html,"June 23, 1980",None,2010,2011,C,6-11,245,"October 27, 2009",2 years,103,4.9,2.8,0.6
Alan Anderson,https://www.basketball-reference.com/players/a/anderal01.html,"October 16, 1982",Michigan State,2006,2017,G-F,6-6,220,"November 12, 2005",8 years,330,7.3,2.2,1.1
Andy Anderson,https://www.basketball-reference.com/players/a/anderan01.html,"July 6, 1945",Canisius,1968,1970,G,6-2,184,,3 years,194,10.7,2.7,1.7
Antonio Anderson,https://www.basketball-reference.com/players/a/anderan02.html,"June 5, 1985",Memphis,2010,2010,G,6-6,215,"March 3, 2010",1 year,1,2.0,1.0,0.0
Cliff Anderson,https://www.basketball-reference.com/players/a/andercl01.html,"September 7, 1944",Saint Joseph's,1968,1971,G-F,6-2,200,"October 17, 1967",4 years,84,3.0,1.3,0.9
Dan Anderson,https://www.basketball-reference.com/players/a/anderda01.html,"February 15, 1943",Augsburg College,1968,1969,C,6-10,230,,2 years,140,12.2,9.4,1.1
Dan Anderson,https://www.basketball-reference.com/players/a/anderda02.html,"January 1, 1951",USC,1975,1976,G,6-2,185,"October 27, 1974",2 years,95,3.7,1.0,1.7
Derek Anderson,https://www.basketball-reference.com/players/a/anderde01.html,"July 18, 1974",Ohio State,1998,2008,G,6-5,194,"October 31, 1997",11 years,615,12.0,3.2,3.4
Dwight Anderson,https://www.basketball-reference.com/players/a/anderdw01.html,"December 28, 1960",Kentucky,1983,1983,G,6-3,185,"December 30, 1982",1 year,5,4.2,0.4,0.6
Eric Anderson,https://www.basketball-reference.com/players/a/anderer01.html,"May 26, 1970",Indiana,1993,1994,F,6-9,220,"November 16, 1992",2 years,27,1.6,1.1,0.2
Greg Anderson,https://www.basketball-reference.com/players/a/andergr01.html,"June 22, 1964",Houston,1988,1998,F-C,6-10,230,"November 6, 1987",10 years,680,7.3,6.2,0.6
J.J. Anderson,https://www.basketball-reference.com/players/a/anderjj01.html,"September 23, 1960",Bradley,1983,1985,F,6-8,195,"October 29, 1982",3 years,157,4.8,2.8,0.7
James Anderson,https://www.basketball-reference.com/players/a/anderja01.html,"March 25, 1989",Oklahoma State,2011,2016,G-F,6-6,213,"October 27, 2010",5 years,247,5.8,2.3,1.2
Jerome Anderson,https://www.basketball-reference.com/players/a/anderje01.html,"October 9, 1953",West Virginia,1976,1977,G,6-5,195,"December 12, 1975",2 years,49,2.6,0.5,0.3
Justin Anderson,https://www.basketball-reference.com/players/a/anderju01.html,"November 19, 1993",Virginia,2016,2022,G,6-6,230,"October 28, 2015",6 years,242,5.3,2.6,0.8
Kenny Anderson,https://www.basketball-reference.com/players/a/anderke01.html,"October 9, 1970",Georgia Tech,1992,2005,G,6-0,168,"November 9, 1991",14 years,858,12.6,3.1,6.1
Kim Anderson,https://www.basketball-reference.com/players/a/anderki01.html,"May 12, 1955",Missouri,1979,1979,F,6-7,200,"October 15, 1978",1 year,21,3.0,2.1,0.7
Kyle Anderson,https://www.basketball-reference.com/players/a/anderky01.html,"September 20, 1993",UCLA,2015,2023,F-G,6-9,230,"November 6, 2014",9 years,574,7.0,4.5,2.6
Michael Anderson,https://www.basketball-reference.com/players/a/andermi01.html,"March 23, 1966",Drexel,1989,1989,G,5-11,184,"January 27, 1989",1 year,36,5.7,2.5,4.3
Nick Anderson,https://www.basketball-reference.com/players/a/anderni01.html,"January 20, 1968",Illinois,1990,2002,F-G,6-6,205,"November 4, 1989",13 years,800,14.4,5.1,2.6
Richard Anderson,https://www.basketball-reference.com/players/a/anderri01.html,"November 19, 1960",UC Santa Barbara,1983,1990,F-C,6-10,240,"October 29, 1982",6 years,407,5.6,3.5,1.5
Ron Anderson,https://www.basketball-reference.com/players/a/anderro01.html,"October 15, 1958",Fresno State,1985,1994,F-G,6-7,215,"October 26, 1984",10 years,664,10.6,3.5,1.4
Ryan Anderson,https://www.basketball-reference.com/players/a/anderry01.html,"May 6, 1988",California,2009,2020,F,6-9,240,"October 29, 2008",12 years,649,12.3,5.3,0.9
Shandon Anderson,https://www.basketball-reference.com/players/a/andersh01.html,"December 31, 1973",Georgia,1997,2006,F-G,6-6,208,"November 1, 1996",10 years,719,7.4,3.1,1.4
Willie Anderson,https://www.basketball-reference.com/players/a/anderwi01.html,"January 8, 1967",Georgia,1989,1997,G-F,6-7,190,"November 5, 1988",9 years,555,12.2,3.8,3.8
Wally Anderzunas,https://www.basketball-reference.com/players/a/anderwa01.html,"January 11, 1946",Creighton,1970,1970,C-F,6-7,220,"October 22, 1969",1 year,44,3.6,1.9,0.2
Martynas Andriuškevičius,https://www.basketball-reference.com/players/a/andrima01.html,"March 12, 1986",None,2006,2006,C,7-2,240,"January 5, 2006",1 year,6,0.0,0.7,0.0
Don Anielak,https://www.basketball-reference.com/players/a/anieldo01.html,"November 1, 1930",Missouri State,1955,1955,F,6-7,190,"November 6, 1954",1 year,1,3.0,2.0,0.0
Ike Anigbogu,https://www.basketball-reference.com/players/a/anigbik01.html,"October 17, 1998",UCLA,2018,2019,F-C,6-10,250,"October 20, 2017",2 years,14,0.9,0.9,0.1
Michael Ansley,https://www.basketball-reference.com/players/a/anslemi01.html,"February 8, 1967",Alabama,1990,1992,F,6-7,225,"November 6, 1989",3 years,149,6.9,4.2,0.4
Chris Anstey,https://www.basketball-reference.com/players/a/anstech01.html,"January 1, 1975",None,1998,2000,C,7-0,249,"November 8, 1997",3 years,155,5.2,3.4,0.8
Giannis Antetokounmpo,https://www.basketball-reference.com/players/a/antetgi01.html,"December 6, 1994",None,2014,2023,F-G,7-0,242,"October 30, 2013",10 years,719,22.6,9.6,4.7
Kostas Antetokounmpo,https://www.basketball-reference.com/players/a/antetko01.html,"November 20, 1997",Dayton,2019,2021,F,6-10,200,"March 20, 2019",3 years,22,1.0,1.0,0.1
Thanasis Antetokounmpo,https://www.basketball-reference.com/players/a/antetth01.html,"July 18, 1992",None,2016,2023,F,6-6,219,"January 29, 2016",5 years,164,2.7,1.8,0.6
Carmelo Anthony,https://www.basketball-reference.com/players/a/anthoca01.html,"May 29, 1984",Syracuse,2004,2022,F,6-7,238,"October 29, 2003",19 years,1260,22.5,6.2,2.7
Cole Anthony,https://www.basketball-reference.com/players/a/anthoco01.html,"May 15, 2000",UNC,2021,2023,G,6-2,185,"December 23, 2020",3 years,172,14.2,5.0,4.6
Greg Anthony,https://www.basketball-reference.com/players/a/anthogr01.html,"November 15, 1967",University of Portland,1992,2002,G,6-0,176,"November 1, 1991",11 years,757,7.3,1.9,4.0
Joel Anthony,https://www.basketball-reference.com/players/a/anthojo01.html,"August 9, 1982",UNLV,2008,2017,C,6-9,245,"November 27, 2007",10 years,490,2.2,2.8,0.2
Pero Antić,https://www.basketball-reference.com/players/a/anticpe01.html,"July 29, 1982",None,2014,2015,C-F,6-11,260,"October 30, 2013",2 years,113,6.3,3.5,0.9
OG Anunoby,https://www.basketball-reference.com/players/a/anunoog01.html,"July 17, 1997",Indiana,2018,2023,F,6-7,232,"October 19, 2017",6 years,368,11.6,4.3,1.5
Keith Appling,https://www.basketball-reference.com/players/a/applike01.html,"February 13, 1992",Michigan State,2016,2016,G,6-1,185,"January 18, 2016",1 year,5,1.2,0.2,0.2
Rafael Araújo,https://www.basketball-reference.com/players/a/araujra01.html,"August 12, 1980",BYU,2005,2007,C,6-11,280,"November 3, 2004",3 years,139,2.8,2.8,0.3
Stacey Arceneaux,https://www.basketball-reference.com/players/a/arcenst01.html,"February 17, 1936",Iowa State,1962,1962,F,6-4,210,"March 2, 1962",1 year,7,7.1,4.6,0.6
Robert Archibald,https://www.basketball-reference.com/players/a/archiro01.html,"March 29, 1980",Illinois,2003,2004,F,6-11,250,"November 9, 2002",2 years,44,1.2,1.6,0.4
Tiny Archibald,https://www.basketball-reference.com/players/a/architi01.html,"September 2, 1948",Texas-El Paso,1971,1984,G,6-1,150,"October 14, 1970",13 years,876,18.8,2.3,7.4
Ryan Arcidiacono,https://www.basketball-reference.com/players/a/arcidry01.html,"March 26, 1994",Villanova,2018,2023,G,6-3,195,"October 19, 2017",6 years,237,4.4,1.9,2.0
Jim Ard,https://www.basketball-reference.com/players/a/ardji01.html,"September 19, 1948",Cincinnati,1971,1978,F-C,6-8,215,"October 18, 1974",8 years,431,4.4,4.3,0.6
Gilbert Arenas,https://www.basketball-reference.com/players/a/arenagi01.html,"January 6, 1982",Arizona,2002,2012,G,6-4,191,"November 4, 2001",11 years,552,20.7,3.9,5.3
Trevor Ariza,https://www.basketball-reference.com/players/a/arizatr01.html,"June 30, 1985",UCLA,2005,2022,F,6-8,215,"November 3, 2004",18 years,1118,10.4,4.8,2.1
Paul Arizin,https://www.basketball-reference.com/players/a/arizipa01.html,"April 9, 1928",Villanova,1951,1962,F-G,6-4,190,"November 4, 1950",10 years,713,22.8,8.6,2.3
Joe Arlauckas,https://www.basketball-reference.com/players/a/arlaujo01.html,"July 20, 1965",Niagara University,1988,1988,F,6-9,230,"November 6, 1987",1 year,9,3.8,1.4,0.9
B.J. Armstrong,https://www.basketball-reference.com/players/a/armstbj01.html,"September 9, 1967",Iowa,1990,2000,G,6-2,175,"November 3, 1989",11 years,747,9.8,1.8,3.3
Bob Armstrong,https://www.basketball-reference.com/players/a/armstbo01.html,"June 17, 1933",Michigan State,1957,1957,C-F,6-8,220,"November 15, 1956",1 year,19,1.5,2.1,0.2
Brandon Armstrong,https://www.basketball-reference.com/players/a/armstbr01.html,"June 16, 1980",Pepperdine,2002,2004,G,6-5,188,"November 2, 2001",3 years,108,2.2,0.6,0.2
Curly Armstrong,https://www.basketball-reference.com/players/a/armstcu01.html,"November 1, 1918",Indiana,1949,1951,G-F,5-11,170,"November 3, 1948",3 years,153,6.8,2.3,2.3
Darrell Armstrong,https://www.basketball-reference.com/players/a/armstda01.html,"June 22, 1968",Fayetteville State University,1995,2008,G,6-0,170,"April 11, 1995",14 years,840,9.2,2.7,4.0
Hilton Armstrong,https://www.basketball-reference.com/players/a/armsthi01.html,"November 11, 1984",UConn,2007,2014,F-C,6-11,235,"November 1, 2006",6 years,292,3.0,2.6,0.3
Tate Armstrong,https://www.basketball-reference.com/players/a/armstta01.html,"October 5, 1955",Duke,1978,1979,G,6-3,175,"October 18, 1977",2 years,92,3.8,1.0,1.1
Jesse Arnelle,https://www.basketball-reference.com/players/a/arnelje01.html,"December 30, 1933",Penn State,1956,1956,F,6-5,220,"November 24, 1955",1 year,31,4.7,5.5,0.6
Jay Arnette,https://www.basketball-reference.com/players/a/arnetja01.html,"December 19, 1938",Texas,1964,1966,G,6-2,175,"October 16, 1963",3 years,114,3.7,1.0,1.2
Bob Arnzen,https://www.basketball-reference.com/players/a/arnzebo01.html,"November 3, 1947",Notre Dame,1970,1974,F,6-5,205,"October 14, 1970",4 years,111,4.0,2.0,0.3
Carlos Arroyo,https://www.basketball-reference.com/players/a/arroyca01.html,"July 30, 1979",Florida International University,2002,2011,G,6-2,202,"October 30, 2001",9 years,569,6.6,1.7,3.1
Darrell Arthur,https://www.basketball-reference.com/players/a/arthuda01.html,"March 25, 1988",Kansas,2009,2018,F,6-9,235,"October 29, 2008",9 years,503,6.5,3.5,0.8
John Arthurs,https://www.basketball-reference.com/players/a/arthujo01.html,"August 15, 1947",Tulane,1970,1970,G,6-4,185,"October 19, 1969",1 year,11,3.2,1.3,1.5
Jamel Artis,https://www.basketball-reference.com/players/a/artisja01.html,"January 12, 1993",Pitt,2018,2018,G-F,6-7,213,"December 13, 2017",1 year,15,5.1,2.5,1.2
Ömer Aşık,https://www.basketball-reference.com/players/a/asikom01.html,"July 4, 1986",None,2011,2018,C,7-0,255,"October 27, 2010",8 years,471,5.3,7.1,0.6
Vincent Askew,https://www.basketball-reference.com/players/a/askewvi01.html,"February 28, 1966",Memphis,1988,1998,G-F,6-6,210,"November 6, 1987",9 years,467,7.1,2.5,2.2
Keith Askins,https://www.basketball-reference.com/players/a/askinke01.html,"December 15, 1967",Alabama,1991,1999,G-F,6-7,197,"December 11, 1990",9 years,486,3.8,2.9,0.8
Don Asmonga,https://www.basketball-reference.com/players/a/asmondo01.html,"February 15, 1928",Alliance College,1954,1954,G,6-2,185,"December 29, 1953",1 year,7,0.7,0.1,0.7
